Comment,Cleaned_Comment
"Aisi research indian media kyo nhi kar sakti??

Well done Nitish...","aisi research indian media kyo nhi kar sakti

well done nitish"
Reply,reply
47 replies,replies
,nan
सर आप बहुत अच्छे तरीके से समझाया है और मैं चाहता हूं कि सर पूरी तरीके से जांच हो और जो जो भी आरोपी है उनको पूरी तरीके से सजा मिल,
Reply,reply
"You have not mentioned any advertisement in this video, you earned my respect sir.",you have not mentioned any advertisement in this video you earned my respect sir
Reply,reply
17 replies,replies
,nan
Apne itne behtarin tarike se is ghatna ko rkha hai samne ki wakai sunne & dekhne me bhi kaafi detail clarify ho pa rahi hai.,apne itne behtarin tarike se is ghatna ko rkha hai samne ki wakai sunne  dekhne me bhi kaafi detail clarify ho pa rahi hai
Reply,reply
Shame on Mamta Banerjee Gov! Appreciate Nitish for his in-depth Analysis!!,shame on mamta banerjee gov appreciate nitish for his indepth analysis
Reply,reply
8 replies,replies
,nan
Salute to your Research Journalism. Eye opener for everyone. More than 170 documents/resources have been put together for making this courageous Journalism.,salute to your research journalism eye opener for everyone more than  documentsresources have been put together for making this courageous journalism
Reply,reply
"Justic for Atul Subhash 
Justice is gender neutral 
His sacrifice should not go in vain","justic for atul subhash 
justice is gender neutral 
his sacrifice should not go in vain"
Reply,reply
1 reply,reply
,nan
#ममता_बनर्जी_इस्तीफा_दो  टीएमसी के विधायक और सांसद इस्तीफा दो।,
Reply,reply
57 replies,replies
,nan
This is called true journalism. Presentation of facts with the facts. I was waiting for your analysis Nitish sir.,this is called true journalism presentation of facts with the facts i was waiting for your analysis nitish sir
Reply,reply
2 replies,replies
,nan
Jo media 30 days se 24*7 nahi bata paya vo Nitish bhai ne 39 mins me detail me coved kiya.. this is real journalism.. pure content.,jo media  days se  nahi bata paya vo nitish bhai ne  mins me detail me coved kiya this is real journalism pure content
Reply,reply
8 replies,replies
,nan
Finally a non bengali youtuber talked about it with proper explanation. Your research is commendable. You didn't dilute this incident with the help of other cases.,finally a non bengali youtuber talked about it with proper explanation your research is commendable you didnt dilute this incident with the help of other cases
Reply,reply
3 replies,replies
,nan
