Comment,Cleaned_Comment
I have no hate for other YouTubers but they are focusing on earning money but Sir you are providing true information to all of us without any inclination towards any political party or government body.,i have no hate for other youtubers but they are focusing on earning money but sir you are providing true information to all of us without any inclination towards any political party or government body
Reply,reply
"Dhruv Rathee ne to case को Social problem बनाकर follow को गुमराह कर दिया ...
Thanks sir for your unbiased and real information...","dhruv rathee ne to case  social problem  follow     
thanks sir for your unbiased and real information"
Reply,reply
12 replies,replies
,nan
I'm from Pakistan and I have no words for such incidents. Even in Pakistan conditions are similar. I pray for all of the oppressed people.,im from pakistan and i have no words for such incidents even in pakistan conditions are similar i pray for all of the oppressed people
Reply,reply
"as a bengali  i appreciate  your hard work , thank you ! totally unbiased  analysis .",as a bengali  i appreciate  your hard work  thank you  totally unbiased  analysis
Reply,reply
"Thank you for making such detailed video, which no other channels have researched to this extent. Hope the victim gets justice and all corrupt officials get behind the bars.",thank you for making such detailed video which no other channels have researched to this extent hope the victim gets justice and all corrupt officials get behind the bars
Reply,reply
Hats off #nitishrajput. Thank you for showing unbiased true facts. Every detail is backed by relevant evidence. The country needs more people like you. Thank you once again and more success to you,hats off nitishrajput thank you for showing unbiased true facts every detail is backed by relevant evidence the country needs more people like you thank you once again and more success to you
Reply,reply
Sir aap itne achhe se samjha te ho uthne achhe se koi apne video ko explain nahi kar sakta hai  Thank you sir,sir aap itne achhe se samjha te ho uthne achhe se koi apne video ko explain nahi kar sakta hai  thank you sir
Reply,reply
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
,nan
Show chat replay,show chat replay
2 BHK Homes from ₹ 82.5 L*,bhk homes from   l
saroha.rohanbuilders.com/Rohan_Builders/Official_Site,saroharohanbuilderscomrohanbuildersofficialsite
Visit site,visit site
